主編碼,屬性,詞目,音讀,文白屬性,部首
329,1,子弟戲,tsu2-te7-hi3,0,
330,1,三更,sann1-kenn1/sann1-kinn1,0,
331,1,三更半暝,sann1-kenn1-puann3-me5/sann1-kinn1-puann3-mi5,0,
332,1,口灶,khau2-tsau3,0,
333,1,小肚,sio2-too7,0,
334,1,大肚胿,tua7-too7-kui1,0,
335,1,三角,sann1-kak4,0,
336,1,久見,kiu2-kian3,0,
337,1,山谷,suann1-kok4,0,
338,1,川芎,tshuan1-kiong1,0,
339,1,川貝,tshuan1-pue3,0,
340,1,干貝,kan1-pue3,0,
341,1,千里眼,Tshian1-li2-gan2,0,
342,1,三角窗,sann1-kak4-thang1,0,
343,1,三角褲,sann1-kak4-khoo3,0,
344,1,千里鏡,tshian1-li2-kiann3,0,
345,1,久來,ku2--lai5,0,
346,1,口供,khau2-king1,0,
347,1,大使,tai7-sai3,0,
348,1,小事,sio2-su7,0,
349,1,小使,siau2-su2,0,
350,1,工事,kang1-su7,0,
351,1,女兒,lu2-ji5/lu2-li5,0,
352,1,小叔,sio2-tsik4,0,
353,1,小管仔,sio2-kng2-a2,0,
354,1,小兒科,sio2-ji5-kho1/sio2-li5-kho1,0,
355,1,小兒麻痺,sio2-ji5-ba5-pi3/sio2-li5-ba5-pi3,0,
356,1,山坪,suann1-phiann5,0,
357,1,丈姆,tiunn7-m2,0,
358,1,大姆,tua7-m2,0,
359,1,大姊,tua7-tsi2,0,
360,1,大姑,tua7-koo1,0,
361,1,小妹,sio2-mue7/sio2-be7,0,
362,1,小姐,sio2-tsia2,0,
363,1,小姑,sio2-koo1,0,
364,1,丈姆婆,tiunn7-m2-po5,0,
365,1,下底,e7-te2/e7-tue2,0,
366,1,大官,ta1-kuann1,0,
367,1,大官虎,tua7-kuann1-hoo2,0,
368,1,土性,thoo2-sing3,0,
369,1,下性命,he7-senn3-mia7/he7-sinn3-mia7,0,
370,1,大房,tua7-pang5,0,
371,1,大拖,tua7-thua1,0,
372,1,下昏,e1-hng1,0,
373,1,山東白仔,suann1-tang1-peh8-a2,0,
374,1,下昏暗,e1-hng1-am3,0,
375,1,乞的,khit4--e5,0,
376,1,土直,thoo2-tit8,0,
377,1,三肢手,sann1-ki1-tshiu2,0,
378,1,久長,ku2-tng5,0,
379,1,千金,tshian1-kim1,0,
380,1,三長兩短,sann1-tng5-nng7-te2,0,
381,1,上青苔,tshiunn7-tshenn1-thi5/tshiunn7-tshinn1-thi5,0,
382,1,久長病,ku2-tng5-penn7/ku2-tng5-pinn7,0,
383,1,千金譜,Tshian1-kim1-phoo2,0,
384,1,大便,tai7-pian7,0,
385,1,大前年,tua7-tsun5--ni5,0,
386,1,大姨,tua7-i5,0,
387,1,上帝,Siong7-te3,0,
388,1,上帝公,Siong7-te3-kong1,0,
389,1,三思,sam3-su1,0,
390,1,大後日,tua7-au7--jit8/tua7-au7--lit8,0,
391,1,大後年,tua7-au7--ni5,0,
392,1,山後鳥,suann1-au7-tsiau2,0,
393,1,也是,ia7 si7,0,
394,1,才是,tsiah4-si7,0,
395,1,大昨日,tua7-tsoh8--jit8/tua7-tsoh8--lit8,0,
396,1,大某,tua7-boo2,0,
397,1,山洞,suann1-tong7,0,
398,1,三牲,sam1-sing1,0,
399,1,三界公,Sam1-kai3-kong1,0,
400,1,三界娘仔,sam1-kai3-niu5-a2,0,
401,1,山珍海味,san1-tin1-hai2-bi7,0,
402,1,山苳蒿,suann1-tang1-o1,0,
403,1,低音,ke7-im1,0,
404,1,乞食,khit4-tsiah8,0,
405,1,口面,khau2-bin7,0,
406,1,口音,khau2-im1,0,
407,1,乞食命,khit4-tsiah8-mia7,0,
408,1,大面神,tua7-bin7-sin5,0,
409,1,乞食琴,khit4-tsiah8-khim5,0,
410,1,乞食頭,khit4-tsiah8-thau5,0,
411,1,土匪,thoo2-hui2,0,
412,1,大厝,tua7-tshu3,0,
413,1,大哥,tua7-ko1,0,
414,1,低厝仔,ke7-tshu3-a2,0,
415,1,大娘姑,tua7-niu5-koo1,0,
416,1,口座,khau2-tso7,0,
417,1,土師,thoo2-sai1,0,
418,1,大孫,tua7-sun1,0,
419,1,大家,ta1-ke1,0,
420,1,子宮,tsu2-kiong1,0,
421,1,山崁,suann1-kham3,0,
422,1,大家口,tua7-ke1-khau2,0,
423,1,大家官,ta1-ke1-kuann1,0,
424,1,子時,tsu2-si5,0,
425,1,上桌,tsiunn7-toh4,0,
426,1,口氣,khau2-khi3,0,
427,1,大氣,tai7-khi3,0,
428,1,大氣,tua7-khui3,0,
429,1,大氣喘,tua7-khui3-tshuan2,0,
430,1,干涉,kan1-siap8,0,
431,1,低級,ke7-kip4,0,
432,1,大陣,tua7 tin7,0,
433,1,小鬼仔殼,siau2-kui2-a2-khak4,0,
434,1,三除四扣,sann1-tu5-si3-khau3,0,
435,1,上崎,tsiunn7-kia7,0,
436,1,山崙,suann1-lun7,0,
437,1,才情,tsai5-tsing5,0,
438,1,三教,sam1-kau3,0,
439,1,下晝,e7-tau3,0,
440,1,下晡,e7-poo1,0,
441,1,小票,sio2-phio3,0,
442,1,三絃,sam1-hian5,0,
443,1,大細,tua7-se3/tua7-sue3,0,
444,1,大細心,tua7-se3-sim1/tua7-sue3-sim1,0,
445,1,大細目,tua7-se3-bak8/tua7-sue3-bak8,0,
446,1,山頂,suann1-ting2,0,
447,1,工場,kang1-tiunn5,0,
448,1,大富,tua7-pu3,0,
449,1,大寒,tua7-kuann5,0,
450,1,大富大貴,tua7-hu3-tua7-kui3,0,
451,1,大摒掃,tua7-piann3-sau3,0,
452,1,上殕,tshiunn7-phu2,0,
453,1,下港,e7-kang2,0,
454,1,大港,tua7-kang2,0,
455,1,大湧,tua7-ing2,0,
456,1,干焦,kan1-na1,0,
457,1,下痟,ha7-siau1,0,
458,1,口琴,khau2-khim5,0,
459,1,工程,kang1-ting5,0,
460,1,工程師,kang1-ting5-su1,0,
461,1,上等,siong7-ting2,0,
462,1,大筒,tua7-tang5,0,
463,1,小等,sio2-tan2,0,
464,1,土菝仔,thoo2-puat8-a2,0,
465,1,上訴,siong7-soo3,0,
467,1,大量,tai7-liong7,0,
468,1,弓開,king1--khui1,0,
469,1,凡勢,huan7-se3,0,
470,1,山勢,suann1-se3,0,
471,1,土想,thoo2-siunn7,0,
472,1,下暗,e1-am3,0,
473,1,工會,kang1-hue7,0,
474,1,工業,kang1-giap8,0,
475,1,才會,tsiah4 e7,0,
476,1,山溝,suann1-kau1,0,
477,1,山盟海誓,san1-bing5-hai2-se3,0,
478,1,下落,he7-loh8,0,
479,1,千萬,tshian1-ban7,0,
480,1,大腸,tua7-tng5,0,
481,1,大舅,tua7-ku7,0,
482,1,小腸,sio2-tng5,0,
483,1,山腰,suann1-io1,0,
484,1,大腹肚,tua7-pak4-too2,0,
485,1,口試,khau2-tshi3,0,
486,1,下跤,e7-kha1,0,
487,1,土話,thoo2-ue7,0,
488,1,大話,tua7-ue7,0,
489,1,山貉,suann1-ho5,0,
490,1,山賊,suann1-tshat8,0,
491,1,山跤,suann1-kha1,0,
492,1,下跤手人,e7-kha1-tshiu2-lang5,0,
493,1,大跤胴,tua7-kha1-tang5,0,
494,1,三跤馬,sann1-kha1-be2,0,
495,1,三跤貓,sann1-kha1-niau1,0,
496,1,低路,ke7-loo7,0,
497,1,大路,tua7-loo7,0,
498,1,小路,sio2-loo7,0,
499,1,大道公,Tai7-to7-kong1,0,
500,1,三頓,sann1 tng3,0,
501,1,山雺,suann1-bong5,0,
502,1,大鼓,tua7-koo2,0,
503,1,大壽,tua7-siu7,0,
504,1,大漢,tua7-han3,0,
505,1,大箍,tua7-khoo1,0,
506,1,大箍呆,tua7-khoo1-tai1,0,
507,1,上緊,siong7 kin2,0,
508,1,大腿,tua7-thui2,0,
509,1,大腿骨,tua7-thui2-kut4,0,
510,1,上蓋,siong7-kai3,0,
511,1,小說,sio2-suat4,0,
512,1,大銀,tua7-gin5/tua7-gun5,0,
513,1,小銀,sio2-gin5/sio2-gun5,0,
514,1,亡魂,bong5-hun5,0,
515,1,大餅,tua7-piann2,0,
516,1,三層,sam1-tsan5,0,
517,1,工寮,kang1-liau5,0,
518,1,工廠,kang1-tshiunn2,0,
519,1,三層肉,sam1-tsan5-bah4,0,
520,1,大廣絃,tua7-kong2-hian5,0,
521,1,小數,sio2-soo3,0,
522,1,干樂,kan1-lok8,0,
523,1,大熱,tua7-juah8/tua7-luah8,0,
524,1,大範,tua7-pan7,0,
525,1,山線,suann1-suann3,0,
526,1,三線路,sam1-suann3-loo7,0,
527,1,上課,siong7-kho3,0,
528,1,工課,khang1-khue3,0,
529,1,才調,tsai5-tiau7,0,
530,1,大賣,tua7-be7/tua7-bue7,0,
531,1,小賣,sio2-be7/sio2-bue7,0,
532,1,山豬,suann1-ti1/suann1-tu1,0,
533,1,下輩,e7-pue3,0,
534,1,三輪車,sann1-lian2-tshia1,0,
535,1,下頦,e7-hai5,0,
536,1,大學,tai7-hak8,0,
537,1,小學,sio2-hak8,0,
538,1,弓蕉,king1-tsio1,0,
539,1,弓蕉油,king1-tsio1-iu5,0,
540,1,山貓,suann1-niau1,0,
541,1,口頭,khau2-thau5,0,
542,1,山頭,suann1-thau5,0,
543,1,工頭,kang1-thau5,0,
544,1,上頭仔,siong7-thau5-a2,0,
545,1,大頭拇,tua7-thau5-bu2,0,
546,1,大頷胿,tua7-am7-kui1,0,
547,1,大頭菜,tua7-thau5-tshai3,0,
548,1,大戲,tua7-hi3,0,
549,1,山嶺,suann1-nia2,0,
550,1,土檨仔,thoo2-suainn7-a2,0,
551,1,上濟,siong7 tse7/siong7 tsue7,0,
552,1,上聲,siong2-siann1,0,
553,1,大聲,tua7-siann1,0,
554,1,大膽,tua7-tann2,0,
555,1,大聲話,tua7-siann1-ue7,0,
556,1,下擺,e7-pai2,0,
557,1,小嬸,sio2-tsim2,0,
558,1,土雞仔,thoo2-ke1-a2/thoo2-kue1-a2,0,
559,1,下顎,e7-kok4,0,
560,1,工藝,kang1-ge7,0,
561,1,下願,he7-guan7,0,
562,1,大龐,tua7-phiang7,0,
563,1,大麵,tua7-mi7,0,
564,1,大欉,tua7-tsang5,0,
565,1,大廳,tua7-thiann1,0,
566,1,不,put4,0,一
567,1,丑,thiu2,0,一
568,1,中,ting3,2,｜
